Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color,Hard
ゲーム,2007,4,12,,,,,,,逆転裁判4,,http://www.capcom.co.jp/gyakutensaiban/4/,http://neoapo.com/images/game/504/007e3554ee38a9ca71b1c93980371146.jpg,,box,,DS
ゲーム,2007,10,1,,,,,,,ゼルダの伝説 トワイライトプリンセス,,https://www.nintendo.co.jp/wii/rzdj/,http://4.bp.blogspot.com/-99Wkoi_GAyk/VMrn2CZhKdI/AAAAAAAAWCI/g4Aqb-GJUcA/s1600/zelda_tp_jp.jpg,,box,,Wii
ゲーム,2008,1,31,,,,,,,大乱闘スマッシュブラザーズX,,http://www.smashbros.com/wii/jp/,https://pbs.twimg.com/media/DPR8DHkUMAADJYW.jpg,,box,,Wii
ゲーム,2008,6,12,,,,,,,METAL GEAR SOLID 4 GUNS OF THE PATRIOTS,,http://www.konami.jp/mgs4/jp/,https://images-na.ssl-images-amazon.com/images/I/51vIeeXmhUL.jpg,,box,,PS3
ゲーム,2009,10,31,,,,,,,アンチャーテッド 黄金刀と消えた船団,,http://www.jp.playstation.com/software/title/bcjs70021.html,http://dengekionline.com/elem/000/001/464/1464112/ps3anniversary_013_cs1w1_689x800.jpg,,box,,PS3
ゲーム,2010,4,28,,,,,,,METAL GEAR SOLID PEACE WALKER,,http://www.konami.jp/mgs_pw/jp/index.html,https://images-na.ssl-images-amazon.com/images/I/91bRl%2BcFx-L._SL1500_.jpg,,box,,PSP
ゲーム,2011,2,26,,,,,,,キャサリン,,http://cathy.atlus.co.jp/,http://img4.tbcdn.cn/tfscom/i5/T1u4eHXkpvXXcsbnA8_101717.jpg,,box,,PS3
ゲーム,2011,6,16,,,,,,,ゼルダの伝説 時のオカリナ 3D,,https://www.nintendo.co.jp/3ds/aqej/,https://images-na.ssl-images-amazon.com/images/I/51cZH2AhSVL.jpg,,box,,3DS
ゲーム,2011,8,4,,,,,,,STEINS;GATE,,http://steinsgate.jp/,http://livedoor.blogimg.jp/otaku_blog-gehasoku/imgs/c/b/cbdcd7c8.jpg,,box,,PSP
ゲーム,2011,10,15,,,,,,,メルルのアトリエ ～アーランドの錬金術士3～,,http://atelier-ps3.jp/meruru/ps3/,http://blog-imgs-35.fc2.com/b/b/a/bbal1791/514m1.jpg,,box,,PS3
ゲーム,2011,11,8,,,,,,,METAL GEAR SOLID HD EDITION,,http://www.konami.jp/kojima_pro/hd/mgs/,https://www.konami.com/mg/archive/hd/common/images/mgs/products/popup/mgs03_zoom.jpg,,box,,PS3
ゲーム,2011,11,19,,,,,,,アンチャーテッド 砂漠に眠るアトランティス,,http://www.jp.playstation.com/software/title/bcjs37004.html,https://dengekionline.com/elem/000/001/092/1092853/uncharted_05_cs1w1_x720.jpg,,box,,PS3
ゲーム,2011,11,23,,,,,,,ゼルダの伝説 スカイウォードソード,,https://www.nintendo.co.jp/wii/souj/,https://blog-001.west.edge.storage-yahoo.jp/res/blog-0a-4f/taraikeniti/folder/693249/70/39061070/img_3?1319994144,,box,,Wii
ゲーム,2012,2,24,,,,,,,テイルズ オブ エクシリア,,http://tox.namco-ch.net/,https://stat.ameba.jp/user_images/20110907/15/project-imas/8d/16/j/o0759088111468048989.jpg,,box,,PS3
ゲーム,2012,3,22,,,,,,,新・光神話 パルテナの鏡,,https://www.nintendo.co.jp/3ds/akdj/,http://news.mynavi.jp/articles/2012/03/30/palutena/images/042.jpg,,box,,3DS
ゲーム,2012,6,28,,,,,,,ROBOTICS;NOTES,,http://roboticsnotes.jp/,https://i.pinimg.com/736x/04/1f/f1/041ff1dc0b703bb69f5c19d66918054f--latest-video-games-robotics.jpg,,box,,PS3
ゲーム,2012,10,12,,,,,,,BRAVELY DEFAULT FLYING FAIRY,,http://www.square-enix.co.jp/bdff/,http://dengekionline.com/elem/000/001/022/1022965/b2nd_05_cs1w1_400x.jpg,,box,,3DS
ゲーム,2012,12,30,,,,,,,アーシャのアトリエ,,http://atelier-ps3.jp/ayesha/ps3/,http://shop.r10s.jp/book/cabinet/0895/4943015080895.jpg,,box,,PS3
ゲーム,2013,2,21,,,,,,,METAL GEAR RISING REVENGEANCE,,http://www.konami.jp/mgr/jp/,http://livedoor.blogimg.jp/kizna_t/imgs/6/4/642db8e8.jpg,,box,,PS3
ゲーム,2013,7,25,,,,,,,逆転裁判5,,http://www.capcom.co.jp/gyakutensaiban/5/,https://www.inside-games.jp/imgs/p/vfrvPUfFBDEEkDjVvIkR5MMLlgcGBQQDAgEA/403037.jpg,,box,,3DS
ゲーム,2013,9,26,,,,,,,ゼルダの伝説 風のタクト HD,,https://www.nintendo.co.jp/wiiu/bczj/,http://ga-m.com/image/news/2013/08/17/zelda-windwalker-hd-america-2.gif,,box,,Wii U
ゲーム,2013,12,26,,,,,,,FINAL FANTASY X/X-2 HD Remaster,,http://www.jp.square-enix.com/ffx_x-2HD/,https://images-na.ssl-images-amazon.com/images/I/81SZG5UYM7L._SL1500_.jpg,,box,,PS3
ゲーム,2013,12,26,,,,,,,ゼルダの伝説 神々のトライフォース2,,https://www.nintendo.co.jp/3ds/bzlj/,http://www.4gamer.net/games/212/G021244/screenshot_3.jpg,,box,,3DS
ゲーム,2014,3,18,,,,,,,METAL GEAR SOLID V: GROUND ZEROES,,https://www.konami.com/mg/mgs5/gz/jp/,https://images-na.ssl-images-amazon.com/images/I/91mVvC5M8ML._SL1500_.jpg,,box,,PS3
ゲーム,2014,7,11,,,,,,,FREEDOM WARS,,http://www.jp.playstation.com/scej/title/freedomwars/,http://pic.k73.com/up/soft/2014/0404/094926_66300365.jpg,,box,,PS Vita
ゲーム,2014,8,14,,,,,,,ゼルダ無双,,https://www.gamecity.ne.jp/zelda/,http://img2.ruliweb.com/mypi/gup/a/75/6/o/5716094910.jpg,,box,,Wii U
ゲーム,2014,9,13,,,,,,,大乱闘スマッシュブラザーズ for 3DS,,http://www.smashbros.com/jp/,http://ga-m.com/image/news/2014/06/14/sumabura-3ds-yoyaku-2.gif,,box,,3DS
ゲーム,2014,12,6,,,,,,,大乱闘スマッシュブラザーズ for Wii U,,http://www.smashbros.com/jp/,http://www.4gamer.net/games/134/G013467/screenshot_3.jpg,,box,,Wii U
ゲーム,2015,2,3,,,,,,,スーパーマリオ 3Dワールド,,https://www.nintendo.co.jp/wiiu/ardj/,http://livedoor.blogimg.jp/gonintendo/imgs/d/1/d19dd017.jpg,,box,,Wii U
ゲーム,2015,2,13,,,,,,,ゼルダの伝説 ムジュラの仮面 3D,,https://www.nintendo.co.jp/3ds/ajrj/,https://images-na.ssl-images-amazon.com/images/I/81JkNLNlKXL._SL1500_.jpg,,box,,3DS
ゲーム,2015,3,11,,,,,,,マリオカート8,,https://www.nintendo.co.jp/wiiu/amkj/,http://pic.k73.com/up/soft/2014/0625/163503_33045869.jpg,,box,,Wii U
ゲーム,2015,3,18,,,,,,,Wii Fit U,,https://www.nintendo.co.jp/wiiu/astj/,http://www.wiiucollection.com/wp-content/uploads/2015/12/Wii-Fit-U-Fit-Meter-Set-ntsc-j.jpg,,box,,Wii U
ゲーム,2015,4,2,,,,,,,Xenoblade,,https://www.nintendo.co.jp/3ds/cafj/,https://images-na.ssl-images-amazon.com/images/I/81v0IJtW18L._SX425_.jpg,,box,,3DS
ゲーム,2015,5,28,,,,,,,Splatoon,,https://www.nintendo.co.jp/wiiu/agmj/,https://s.eximg.jp/exnews/feed/Excite_review/reviewapp/2015/E1433701257351_d1a2_1.jpg,,box,,Wii U
ゲーム,2015,9,2,,,,,,,METAL GEAR SOLID V: THE PHANTOM PAIN,,https://www.konami.com/mg/mgs5/tpp/jp/,https://cdn-ak.f.st-hatena.com/images/fotolife/i/inocci101/20160831/20160831170020.jpg,,box,,PS4
ゲーム,2015,9,10,,,,,,,絶対絶望少女 ダンガンロンパ Another Episode,,http://www.danganronpa.com/zetsubou/,https://static.giantbomb.com/uploads/scale_small/14/149021/2682804-7064597237-vljs05046_jacket,,box,,PS Vita
ゲーム,2015,12,2,,,,,,,STEINS;GATE 比翼連理のだーりん,,http://steinsgate.jp/darling/,http://dengekionline.com/elem/000/000/590/590943/c20130204_sg_02_cs1w1_315x400.jpg,,box,,PS Vita
ゲーム,2015,12,10,,,,,,,GRAVITY DAZE,,http://www.jp.playstation.com/scej/title/gravitydaze/ps4/,https://images-na.ssl-images-amazon.com/images/I/51eZfqROpGL.jpg,,box,,PS4
ゲーム,2015,12,24,,,,,,,STEINS;GATE 0,,http://steinsgate0.jp/,https://images-na.ssl-images-amazon.com/images/I/51%2B9pPMyxHL.jpg,,box,,PS Vita
ゲーム,2015,12,30,,,,,,,BAYONETTA,,http://bayonetta.jp/main.html,http://www.suruga-ya.jp/database/pics/game/106000111.jpg,,box,,Wii U
ゲーム,2016,1,14,,,,,,,オーディンスフィア レイヴスラシル,,http://atlus-vanillaware.jp/osl/,https://images-na.ssl-images-amazon.com/images/I/71HbHFQZ1GL._SL1000_.jpg,,box,,PS4
ゲーム,2016,2,27,,,,,,,ポケットモンスター 赤,,http://www.pokemon.co.jp/ex/VCAMAP/,http://www.pokemon.co.jp/ex/VCAMAP/top/img_03.png,,box,,3DS
ゲーム,2016,3,10,,,,,,,ゼルダの伝説 トワイライトプリンセス HD,,https://www.nintendo.co.jp/wiiu/azaj/,https://images-na.ssl-images-amazon.com/images/I/81s4fsI61hL._SY445_.jpg,,box,,Wii U
ゲーム,2016,5,10,,,,,,,アンチャーテッド 海賊王と最後の秘宝,,http://www.jp.playstation.com/scej/title/uncharted/4/,https://images-na.ssl-images-amazon.com/images/I/51nOa5RWENL.jpg,,box,,PS4
ゲーム,2016,3,2,,,,,,,朧村正,,https://www.marv.jp/special/game/vita/oboromuramasa/,https://images-na.ssl-images-amazon.com/images/I/618aWG7kxML.jpg,,box,,PS Vita
ゲーム,2016,6,9,,,,,,,逆転裁判6,,http://www.capcom.co.jp/gyakutensaiban/6/,https://images-na.ssl-images-amazon.com/images/I/61Xp9as3iuL.jpg,,box,,3DS
ゲーム,2016,7,9,,,,,,,BRAVELY SECOND END LAYER,,http://www.jp.square-enix.com/second/,http://ds-can.com/bravely-second/images/title.jpg,,box,,3DS
ゲーム,2016,9,8,,,,,,,風ノ旅ビト,,http://www.jp.playstation.com/scej/title/kazenotabibito/,https://www.inside-games.jp/imgs/ogp_f/687111.jpg,,box,,PS4
ゲーム,2016,12,6,,,,,,,人喰いの大鷲トリコ,,http://www.jp.playstation.com/scej/title/trico/,https://images-na.ssl-images-amazon.com/images/I/51LtJ4UIfQL.jpg,,box,,PS4
ゲーム,2016,12,30,,,,,,,BAYONETTA 2,,https://www.nintendo.co.jp/wiiu/aquj/,https://www.atpress.ne.jp/releases/50135/img_50135_1.jpg,,box,,Wii U
ゲーム,2017,1,12,,,,,,,ニューダンガンロンパV3,,http://www.danganronpa.com/v3/,https://img.animatetimes.com/news/visual/2016/1475197895_1_1_c5b44c9c70351b12b126687146aff15a.jpg,,box,,PS4
ゲーム,2017,2,2,,,,,,,GRAVITY DAZE 2,,http://www.jp.playstation.com/scej/title/gravitydaze/2/,https://thumbnail.image.rakuten.co.jp/@0_mall/treasure-eight/cabinet/product/game-soft/playstation4/imgrc0067881314.jpg,,box,,PS4
ゲーム,2017,3,3,,,,,,,ゼルダの伝説 ブレス オブ ザ ワイルド,,https://www.nintendo.co.jp/zelda/,http://ga-m.com/image/news/2017/01/15/zelda-breath-of-the-wild-package-tokuten-1.jpg,,box,,Switch
ゲーム,2017,4,28,,,,,,,マリオカート8 DELUXE,,https://www.nintendo.co.jp/switch/aabpa/,https://images-na.ssl-images-amazon.com/images/I/71H5KLn0c1L._SL1004_.jpg,,box,,Switch
ゲーム,2017,7,21,,,,,,,Splatoon 2,,https://www.nintendo.co.jp/switch/aab6a/,https://pbs.twimg.com/media/C2ByfgkUoAEJnd7.jpg:large,,box,,Switch
ゲーム,2017,9,14,,,,,,,アンチャーテッド 古代神の秘宝,,https://www.jp.playstation.com/games/uncharted-the-lost-legacy-ps4/,https://www.gamespark.jp/imgs/zoom/192143.jpg,,box,,PS4
ゲーム,2017,10,27,,,,,,,スーパーマリオ オデッセイ,,https://www.nintendo.co.jp/switch/aaaca/,https://ninten-switch.com/wp-content/uploads/2017/08/super-mario-odyssey-new-package-us.jpg,,box,,Switch
ゲーム,2017,12,13,,,,,,,大神 絶景版,,http://www.capcom.co.jp/o-kami/zekkei/,https://images-fe.ssl-images-amazon.com/images/I/61NR2RxIpEL.jpg,,box,,PS4
ゲーム,2018,3,13,,,,,,,ワンダと巨像,,https://www.jp.playstation.com/games/wander/,https://www.nautiljon.com/images/jeuxvideo/00/62/shadow_of_the_colossus_remake_asie_1726.jpg,,box,,PS4
ゲーム,2018,6,22,,,,,,,マリオテニス エース,,https://www.nintendo.co.jp/switch/alera/,https://images-fe.ssl-images-amazon.com/images/I/81odbkBkJvL.jpg,,box,,Switch
ゲーム,2018,8,5,,,,,,,オーバークック2,,http://www.pckt.co.jp/overcooked2/,https://img-eshop.cdn.nintendo.net/i/dbf38665080e48dbab879aa6a9a9ea3f85007aa813606fd62d3bcf25e293485a.jpg?w=1000,,box,,Switch
ゲーム,2018,9,13,,,,,,,UNDERTALE,,https://undertale.jp/,https://images-fe.ssl-images-amazon.com/images/I/61Rbg4J7UJL.jpg,,box,,Switch
ゲーム,2018,9,19,,,,,,,ファミリーコンピュータ Nintendo Switch Online,,https://ec.nintendo.com/JP/ja/titles/70010000000850,https://img-eshop.cdn.nintendo.net/i/fc185173f8019b13ad8d998f8cd8c3c55e44c67f0ff98ba0ea9a6ccab6753400.jpg?w=1000,,box,,Switch
ゲーム,2018,9,26,,,,,,,Human Fall Flat,,http://www.teyon.jp/games/human-fall-flat/,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=e4c493060524ab18f41be96554938da8/8b82b9014a90f603c52fea673512b31bb051ed77.jpg,,box,,Switch
ゲーム,2018,9,27,,,,,,,Ultimate Chicken Horse,,https://www.cleverendeavourgames.com/ultimate-chicken-horse/,https://img-eshop.cdn.nintendo.net/i/0beb41e342fc129c51b54cd9075c212ed208bdce61a15ac54dd7dc7e3426e118.jpg,,box,,Switch
ゲーム,2018,11,16,,,,,,,ポケットモンスター Let's Go! ピカチュウ,,https://www.pokemon.co.jp/ex/pika_vee/,http://dengekionline.com/elem/000/001/735/1735557/pokemon_03_cs1w1_790x1280.jpg,,box,,Switch
ゲーム,2018,12,7,,,,,,,大乱闘スマッシュブラザーズSPECIAL,,https://www.smashbros.com/ja_JP/,https://4.bp.blogspot.com/-vLQA6MPc-TQ/W5ibOzNugvI/AAAAAAAAHEg/CVFtVQqBYJIKP_jbXVpUs57Z3eq-GP2zgCLcBGAs/s1600/2.jpg,,box,,Switch
ゲーム,2019,1,10,,,,,,,オーバークック スペシャルエディション,,https://ec.nintendo.com/JP/ja/titles/70010000000884,https://img-eshop.cdn.nintendo.net/i/5fb6938d0376d4bbfc1250708e96737b23d4642c06c0ea000d34cceb41e9419f.jpg?w=1000,,box,,Switch
ゲーム,2019,2,14,,,,,,,キャサリン・フルボディ,,http://fullbody.jp/,https://pbs.twimg.com/media/Doo46XjUYAA99x0.jpg:orig,,box,,PS4
ゲーム,2019,2,28,,,,,,,DELTARUNE Chapter 1,,https://www.deltarune.jp/,https://img-eshop.cdn.nintendo.net/i/6fcfac7988abeab7d954d87b4ece2b0d84f7fe65dd6027679ea66a9b564d1d2e.jpg?w=1000,,box,,Switch
ゲーム,2019,6,28,,,,,,,スーパーマリオメーカー2,,https://www.nintendo.co.jp/switch/baaqa/,https://images-na.ssl-images-amazon.com/images/I/71NKlsYToaL._SL1500_.jpg,,box,,Switch
ゲーム,2019,7,24,,,,,,,Detroit: Become Human,,https://www.jp.playstation.com/games/detroit-become-human/,https://kouryakunotou.com/blog/wp-content/uploads/2018/12/e4e0d38944e9e72521d9e682e7f57c38.jpg,,box,,PS4
ゲーム,2019,9,6,,,,,,,スーパーファミコン Nintendo Switch Online,,https://ec.nintendo.com/JP/ja/titles/70010000023175?c_param=0663bcfe716ec21dbf124bff73cc5205,https://img-eshop.cdn.nintendo.net/i/a3404253c5d1078b7282ea59ac107d0c98c877f5856aef042ac6cbc695e5d252.jpg?w=1000,,box,,Switch
ゲーム,2019,9,15,,,,,,,Life is Strange,,https://www.jp.square-enix.com/lis/,http://livedoor.blogimg.jp/campari71/imgs/6/4/64f98f7b.jpg,,box,,PS4
ゲーム,2019,9,26,,,,,,,Dead by Daylight,,https://ec.nintendo.com/JP/ja/titles/70010000016125,https://img-eshop.cdn.nintendo.net/i/881f9bcaa0183e2ad6e59ee3ca89ae3958b9650a8ceb5e20f44ff998a821f39f.jpg?w=1000,,box,,Switch
ゲーム,2019,11,8,,,,,,,DEATH STRANDING,,https://www.playstation.com/ja-jp/games/death-stranding-ps4/,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR-sPnQsDzTaZlNDCeHDxzG_gFfKXjctdED1XDFUg0uo08U0oFM,,box,,PS4
